day,day_of_week,is_weekend,iso_week
2024-01-01,1,false,1
2024-01-02,2,false,1
2024-01-03,3,false,1
2024-01-04,4,false,1
2024-01-05,5,false,1
2024-01-06,6,true,1
2024-01-07,0,true,1
2024-01-08,1,false,2
2024-01-09,2,false,2
2024-01-10,3,false,2
2024-01-11,4,false,2
2024-01-12,5,false,2
2024-01-13,6,true,2
2024-01-14,0,true,2
